Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates
Brazil,BRA,1957,66031498
Brazil,BRA,1958,68092148
Brazil,BRA,1959,70214470
Brazil,BRA,1960,72388123
Brazil,BRA,1961,74605442
Brazil,BRA,1962,76865320
Brazil,BRA,1963,79164239
Brazil,BRA,1964,81488598
Brazil,BRA,1965,83817586
Brazil,BRA,1966,86139354
Brazil,BRA,1967,88446120
Brazil,BRA,1968,90741242
Brazil,BRA,1969,93045769
Brazil,BRA,1970,95375656
Brazil,BRA,1971,97739280
Brazil,BRA,1972,100146796
Brazil,BRA,1973,102600971
Brazil,BRA,1974,105089675
Brazil,BRA,1975,107619568
Brazil,BRA,1976,110213352
Brazil,BRA,1977,112875286
Brazil,BRA,1978,115600942
Brazil,BRA,1979,118380820
Brazil,BRA,1980,121207450
Brazil,BRA,1981,124063113
Brazil,BRA,1982,126923156
Brazil,BRA,1983,129790082
Brazil,BRA,1984,132658862
Brazil,BRA,1985,135515593
Brazil,BRA,1986,138336371
Brazil,BRA,1987,141104946
Brazil,BRA,1988,143826358
Brazil,BRA,1989,146502977
Brazil,BRA,1990,149143224
Brazil,BRA,1991,151724253
Brazil,BRA,1992,154275077
Brazil,BRA,1993,156794574
Brazil,BRA,1994,159265011
Brazil,BRA,1995,161735079
Brazil,BRA,1996,164202549
Brazil,BRA,1997,166661663
Brazil,BRA,1998,169159651
Brazil,BRA,1999,171641544
Brazil,BRA,2000,174018276
Brazil,BRA,2001,176301200
Brazil,BRA,2002,178503483
Brazil,BRA,2003,180622688
Brazil,BRA,2004,182675143
Brazil,BRA,2005,184688101
Brazil,BRA,2006,186653099
Brazil,BRA,2007,188552310
Brazil,BRA,2008,190367297
Brazil,BRA,2009,192079956
Brazil,BRA,2010,193701931
Brazil,BRA,2011,195284736
Brazil,BRA,2012,196876114
Brazil,BRA,2013,198478291
Brazil,BRA,2014,200085126
Brazil,BRA,2015,201675534
Brazil,BRA,2016,203218108
Brazil,BRA,2017,204703440
Brazil,BRA,2018,206107265
Brazil,BRA,2019,207455459
Brazil,BRA,2020,208660845
Brazil,BRA,2021,209550291
Brazil,BRA,2022,210306411
Brazil,BRA,2023,211140731
China,CHN,1950,544044354
China,CHN,1951,553758251
China,CHN,1952,565131436
China,CHN,1953,577557142
China,CHN,1954,590113861
China,CHN,1955,603547012
China,CHN,1956,616558585
China,CHN,1957,630356210
China,CHN,1958,644219484
China,CHN,1959,652708210
China,CHN,1960,654802066
China,CHN,1961,655773482
China,CHN,1962,665073692
China,CHN,1963,684552645
China,CHN,1964,704798265
China,CHN,1965,723415737
China,CHN,1966,742402209
China,CHN,1967,761026025
China,CHN,1968,781011031
China,CHN,1969,802140343
China,CHN,1970,823308968
China,CHN,1971,844069870
China,CHN,1972,863677811
China,CHN,1973,882576941
China,CHN,1974,900307583
China,CHN,1975,916116795
China,CHN,1976,930372293
China,CHN,1977,943546379
China,CHN,1978,956161484
China,CHN,1979,969288069
China,CHN,1980,983163545
China,CHN,1981,997721068
China,CHN,1982,1013588169
China,CHN,1983,1029064952
China,CHN,1984,1043849645
China,CHN,1985,1059807821
China,CHN,1986,1077233612
China,CHN,1987,1096217446
China,CHN,1988,1115244161
China,CHN,1989,1133991005
China,CHN,1990,1153582718
China,CHN,1991,1170788527
China,CHN,1992,1184574240
China,CHN,1993,1197308569
China,CHN,1994,1209003100
China,CHN,1995,1220133927
China,CHN,1996,1230944812
China,CHN,1997,1241139619
China,CHN,1998,1250847121
China,CHN,1999,1260176650
China,CHN,2000,1269581164
China,CHN,2001,1278725057
China,CHN,2002,1286866839
China,CHN,2003,1294517315
China,CHN,2004,1302100319
China,CHN,2005,1310027138
China,CHN,2006,1318054037
China,CHN,2007,1325813580
China,CHN,2008,1333821009
China,CHN,2009,1342522709
China,CHN,2010,1351561511
China,CHN,2011,1360250657
China,CHN,2012,1369520865
China,CHN,2013,1379008046
China,CHN,2014,1387951973
China,CHN,2015,1396134164
China,CHN,2016,1404052626
China,CHN,2017,1412354742
China,CHN,2018,1419008963
China,CHN,2019,1423520354
China,CHN,2020,1426106083
China,CHN,2021,1426437276
China,CHN,2022,1425179562
China,CHN,2023,1422584937
Ethiopia,ETH,1950,17670418
Ethiopia,ETH,1951,17989061
Ethiopia,ETH,1952,18326176
Ethiopia,ETH,1953,18674773
Ethiopia,ETH,1954,19038036
Ethiopia,ETH,1955,19419769
Ethiopia,ETH,1956,19818886
Ethiopia,ETH,1957,20173748
Ethiopia,ETH,1958,20480279
Ethiopia,ETH,1959,20878099
Ethiopia,ETH,1960,21376688
Ethiopia,ETH,1961,21906100
Ethiopia,ETH,1962,22465125
Ethiopia,ETH,1963,23051640
Ethiopia,ETH,1964,23666546
Ethiopia,ETH,1965,24310614
Ethiopia,ETH,1966,24952688
Ethiopia,ETH,1967,25620283
Ethiopia,ETH,1968,26337932
Ethiopia,ETH,1969,27072574
Ethiopia,ETH,1970,27829135
Ethiopia,ETH,1971,28600114
Ethiopia,ETH,1972,29374610
Ethiopia,ETH,1973,30166789
Ethiopia,ETH,1974,30957277
Ethiopia,ETH,1975,31723255
Ethiopia,ETH,1976,32534429
Ethiopia,ETH,1977,33167276
Ethiopia,ETH,1978,33734601
Ethiopia,ETH,1979,34238655
Ethiopia,ETH,1980,34428516
Ethiopia,ETH,1981,35304011
Ethiopia,ETH,1982,36701294
Ethiopia,ETH,1983,37740821
Ethiopia,ETH,1984,38735728
Ethiopia,ETH,1985,39842135
Ethiopia,ETH,1986,41037658
Ethiopia,ETH,1987,42460039
Ethiopia,ETH,1988,44150832
Ethiopia,ETH,1989,45879686
Ethiopia,ETH,1990,47609762
Ethiopia,ETH,1991,49717202
Ethiopia,ETH,1992,51853754
Ethiopia,ETH,1993,53708892
Ethiopia,ETH,1994,55611512
Ethiopia,ETH,1995,57537340
Ethiopia,ETH,1996,59467640
Ethiopia,ETH,1997,61404542
Ethiopia,ETH,1998,63363523
Ethiopia,ETH,1999,65374562
Ethiopia,ETH,2000,67411495
Ethiopia,ETH,2001,69487768
Ethiopia,ETH,2002,71635520
Ethiopia,ETH,2003,73832663
Ethiopia,ETH,2004,76077212
Ethiopia,ETH,2005,78367475
Ethiopia,ETH,2006,80703494
Ethiopia,ETH,2007,83103219
Ethiopia,ETH,2008,85543671
Ethiopia,ETH,2009,88007639
Ethiopia,ETH,2010,90538520
Ethiopia,ETH,2011,93149977
Ethiopia,ETH,2012,95798770
Ethiopia,ETH,2013,98438750
Ethiopia,ETH,2014,101115615
Ethiopia,ETH,2015,103867140
Ethiopia,ETH,2016,106718161
Ethiopia,ETH,2017,109666482
Ethiopia,ETH,2018,112664155
Ethiopia,ETH,2019,115737385
Ethiopia,ETH,2020,118917671
Ethiopia,ETH,2021,122138590
Ethiopia,ETH,2022,125384285
Ethiopia,ETH,2023,128691696
India,IND,1950,346278817
India,IND,1951,353870058
India,IND,1952,361874904
India,IND,1953,370104571
India,IND,1954,378687141
India,IND,1955,387700891
India,IND,1956,396988906
India,IND,1957,406253895
India,IND,1958,415777437
India,IND,1959,425780669
India,IND,1960,435990344
India,IND,1961,446564730
India,IND,1962,457283092
India,IND,1963,468138576
India,IND,1964,479229599
India,IND,1965,490140141
India,IND,1966,500740250
India,IND,1967,511606375
India,IND,1968,522716894
India,IND,1969,533880544
India,IND,1970,545864268
India,IND,1971,558096383
India,IND,1972,570482142
India,IND,1973,583465595
India,IND,1974,597041392
India,IND,1975,611309532
India,IND,1976,625861887
India,IND,1977,640801105
India,IND,1978,655728226
India,IND,1979,671155745
India,IND,1980,687354031
India,IND,1981,703696255
India,IND,1982,720313474
India,IND,1983,737372685
India,IND,1984,754875451
India,IND,1985,772647801
India,IND,1986,790689978
India,IND,1987,808931261
India,IND,1988,827342997
India,IND,1989,846039530
India,IND,1990,864972219
India,IND,1991,883927607
India,IND,1992,902957072
India,IND,1993,922118380
India,IND,1994,941163775
India,IND,1995,960301048
India,IND,1996,979678464
India,IND,1997,999133765
India,IND,1998,1018665073
India,IND,1999,1038225821
India,IND,2000,1057922728
India,IND,2001,1077898572
India,IND,2002,1097600381
India,IND,2003,1116802997
India,IND,2004,1135991510
India,IND,2005,1154676319
India,IND,2006,1172878890
India,IND,2007,1190676028
India,IND,2008,1207930962
India,IND,2009,1225524760
India,IND,2010,1243481564
India,IND,2011,1261224952
India,IND,2012,1278674506
India,IND,2013,1295829506
India,IND,2014,1312277184
India,IND,2015,1328024492
India,IND,2016,1343944293
India,IND,2017,1359657392
India,IND,2018,1374659068
India,IND,2019,1389030303
India,IND,2020,1402617692
India,IND,2021,1414203889
India,IND,2022,1425423212
India,IND,2023,1438069597
Indonesia,IDN,1950,68799030
Indonesia,IDN,1951,70286312
Indonesia,IDN,1952,71876439
Indonesia,IDN,1953,73569145
Indonesia,IDN,1954,75367369
Indonesia,IDN,1955,77273504
Indonesia,IDN,1956,79282556
Indonesia,IDN,1957,81390843
Indonesia,IDN,1958,83592765
Indonesia,IDN,1959,85892868
Indonesia,IDN,1960,88296073
Indonesia,IDN,1961,90791250
Indonesia,IDN,1962,93375848
Indonesia,IDN,1963,96051425
Indonesia,IDN,1964,98833757
Indonesia,IDN,1965,101365131
Indonesia,IDN,1966,103792757
Indonesia,IDN,1967,106526397
Indonesia,IDN,1968,109450007
Indonesia,IDN,1969,112517638
Indonesia,IDN,1970,115657496
Indonesia,IDN,1971,118833699
Indonesia,IDN,1972,122039843
Indonesia,IDN,1973,125288516
Indonesia,IDN,1974,128555052
Indonesia,IDN,1975,131843849
Indonesia,IDN,1976,135173656
Indonesia,IDN,1977,138533539
Indonesia,IDN,1978,141953163
Indonesia,IDN,1979,145434830
Indonesia,IDN,1980,148950537
Indonesia,IDN,1981,152485036
Indonesia,IDN,1982,156052154
Indonesia,IDN,1983,159651382
Indonesia,IDN,1984,163251124
Indonesia,IDN,1985,166776182
Indonesia,IDN,1986,170175064
Indonesia,IDN,1987,173511158
Indonesia,IDN,1988,176855069
Indonesia,IDN,1989,180201637
Indonesia,IDN,1990,183501097
Indonesia,IDN,1991,186778237
Indonesia,IDN,1992,190043743
Indonesia,IDN,1993,193305171
Indonesia,IDN,1994,196591830
Indonesia,IDN,1995,199888054
Indonesia,IDN,1996,203204352
Indonesia,IDN,1997,206536090
Indonesia,IDN,1998,209826791
Indonesia,IDN,1999,213004666
Indonesia,IDN,2000,216077791
Indonesia,IDN,2001,219097906
Indonesia,IDN,2002,222088499
Indonesia,IDN,2003,225048004
Indonesia,IDN,2004,227926647
Indonesia,IDN,2005,230871649
Indonesia,IDN,2006,233951650
Indonesia,IDN,2007,237062339
Indonesia,IDN,2008,240157901
Indonesia,IDN,2009,243220024
Indonesia,IDN,2010,246305326
Indonesia,IDN,2011,249470029
Indonesia,IDN,2012,252698526
Indonesia,IDN,2013,255852466
Indonesia,IDN,2014,258877397
Indonesia,IDN,2015,261799249
Indonesia,IDN,2016,264627428
Indonesia,IDN,2017,267346655
Indonesia,IDN,2018,269951847
Indonesia,IDN,2019,272489379
Indonesia,IDN,2020,274814864
Indonesia,IDN,2021,276758056
Indonesia,IDN,2022,278830529
Indonesia,IDN,2023,281190068
Nigeria,NGA,1950,37283018
Nigeria,NGA,1951,37994083
Nigeria,NGA,1952,38716209
Nigeria,NGA,1953,39439812
Nigeria,NGA,1954,40176323
Nigeria,NGA,1955,40935636
Nigeria,NGA,1956,41716058
Nigeria,NGA,1957,42517478
Nigeria,NGA,1958,43324653
Nigeria,NGA,1959,44161685
Nigeria,NGA,1960,45053787
Nigeria,NGA,1961,45989311
Nigeria,NGA,1962,46965300
Nigeria,NGA,1963,47973577
Nigeria,NGA,1964,49012023
Nigeria,NGA,1965,50086763
Nigeria,NGA,1966,51188241
Nigeria,NGA,1967,52293067
Nigeria,NGA,1968,53432784
Nigeria,NGA,1969,54631918
Nigeria,NGA,1970,55893837
Nigeria,NGA,1971,57214688
Nigeria,NGA,1972,58601749
Nigeria,NGA,1973,60082138
Nigeria,NGA,1974,61679153
Nigeria,NGA,1975,63410822
Nigeria,NGA,1976,65258002
Nigeria,NGA,1977,67234590
Nigeria,NGA,1978,69326530
Nigeria,NGA,1979,71498241
Nigeria,NGA,1980,73764644
Nigeria,NGA,1981,76068116
Nigeria,NGA,1982,78378696
Nigeria,NGA,1983,80438257
Nigeria,NGA,1984,82526444
Nigeria,NGA,1985,84897972
Nigeria,NGA,1986,87235959
Nigeria,NGA,1987,89591718
Nigeria,NGA,1988,92020092
Nigeria,NGA,1989,94531021
Nigeria,NGA,1990,97120926
Nigeria,NGA,1991,99720162
Nigeria,NGA,1992,102372779
Nigeria,NGA,1993,105122075
Nigeria,NGA,1994,107935717
Nigeria,NGA,1995,110819431
Nigeria,NGA,1996,113754782
Nigeria,NGA,1997,116754791
Nigeria,NGA,1998,119846260
Nigeria,NGA,1999,123047322
Nigeria,NGA,2000,126382491
Nigeria,NGA,2001,129862594
Nigeria,NGA,2002,133471994
Nigeria,NGA,2003,137202647
Nigeria,NGA,2004,141057046
Nigeria,NGA,2005,145017255
Nigeria,NGA,2006,149077333
Nigeria,NGA,2007,153267257
Nigeria,NGA,2008,157595017
Nigeria,NGA,2009,162049465
Nigeria,NGA,2010,166642887
Nigeria,NGA,2011,171379601
Nigeria,NGA,2012,176200628
Nigeria,NGA,2013,181049443
Nigeria,NGA,2014,185896917
Nigeria,NGA,2015,190671883
Nigeria,NGA,2016,195443699
Nigeria,NGA,2017,200254578
Nigeria,NGA,2018,204938753
Nigeria,NGA,2019,209485636
Nigeria,NGA,2020,213996186
Nigeria,NGA,2021,218529285
Nigeria,NGA,2022,223150906
Nigeria,NGA,2023,227882949
Pakistan,PAK,1950,35849257
Pakistan,PAK,1951,36581907
Pakistan,PAK,1952,37377005
Pakistan,PAK,1953,38229659
Pakistan,PAK,1954,39137074
Pakistan,PAK,1955,40098069
Pakistan,PAK,1956,41113926
Pakistan,PAK,1957,42185139
Pakistan,PAK,1958,43312057
Pakistan,PAK,1959,44495163
Pakistan,PAK,1960,45709314
Pakistan,PAK,1961,46921275
Pakistan,PAK,1962,48156130
Pakistan,PAK,1963,49447779
Pakistan,PAK,1964,50799993
Pakistan,PAK,1965,52209015
Pakistan,PAK,1966,53678671
Pakistan,PAK,1967,55214771
Pakistan,PAK,1968,56810514
Pakistan,PAK,1969,58460945
Pakistan,PAK,1970,60166720
Pakistan,PAK,1971,61847897
Pakistan,PAK,1972,63583193
Pakistan,PAK,1973,65461911
Pakistan,PAK,1974,67415486
Pakistan,PAK,1975,69461179
Pakistan,PAK,1976,71620249
Pakistan,PAK,1977,73901832
Pakistan,PAK,1978,76307382
Pakistan,PAK,1979,78997041
Pakistan,PAK,1980,82291008
Pakistan,PAK,1981,85802047
Pakistan,PAK,1982,89089248
Pakistan,PAK,1983,92227712
Pakistan,PAK,1984,95164941
Pakistan,PAK,1985,98229291
Pakistan,PAK,1986,101606771
Pakistan,PAK,1987,105130713
Pakistan,PAK,1988,108724741
Pakistan,PAK,1989,112336635
Pakistan,PAK,1990,116155583
Pakistan,PAK,1991,120060408
Pakistan,PAK,1992,123546854
Pakistan,PAK,1993,127020115
Pakistan,PAK,1994,130748078
Pakistan,PAK,1995,134582253
Pakistan,PAK,1996,138557089
Pakistan,PAK,1997,142531801
Pakistan,PAK,1998,146522357
Pakistan,PAK,1999,150565382
Pakistan,PAK,2000,154879124
Pakistan,PAK,2001,159270911
Pakistan,PAK,2002,163222552
Pakistan,PAK,2003,167110250
Pakistan,PAK,2004,171285998
Pakistan,PAK,2005,175453212
Pakistan,PAK,2006,179682692
Pakistan,PAK,2007,184493230
Pakistan,PAK,2008,189499114
Pakistan,PAK,2009,194376535
Pakistan,PAK,2010,199239047
Pakistan,PAK,2011,203746069
Pakistan,PAK,2012,207667129
Pakistan,PAK,2013,211073979
Pakistan,PAK,2014,214264649
Pakistan,PAK,2015,217290885
Pakistan,PAK,2016,220138862
Pakistan,PAK,2017,223273975
Pakistan,PAK,2018,226928893
Pakistan,PAK,2019,230800909
Pakistan,PAK,2020,235001743
Pakistan,PAK,2021,239477805
Pakistan,PAK,2022,243700667
Pakistan,PAK,2023,247504504
Russia,RUS,1950,103392365
Russia,RUS,1951,104844658
Russia,RUS,1952,106326385
Russia,RUS,1953,107851683
Russia,RUS,1954,109463247
Russia,RUS,1955,111160997
Russia,RUS,1956,112909102
Russia,RUS,1957,114730333
Russia,RUS,1958,116588765
Russia,RUS,1959,118293890
Russia,RUS,1960,119934143
Russia,RUS,1961,121604309
Russia,RUS,1962,123111720
Russia,RUS,1963,124449752
Russia,RUS,1964,125630155
Russia,RUS,1965,126634209
Russia,RUS,1966,127533631
Russia,RUS,1967,128342646
Russia,RUS,1968,129065047
Russia,RUS,1969,129762192
Russia,RUS,1970,130367189
Russia,RUS,1971,130987109
Russia,RUS,1972,131726417
Russia,RUS,1973,132475153
Russia,RUS,1974,133259154
Russia,RUS,1975,134136099
Russia,RUS,1976,135080691
Russia,RUS,1977,136040973
Russia,RUS,1978,136979086
Russia,RUS,1979,137816542
Russia,RUS,1980,138572628
Russia,RUS,1981,139351496
Russia,RUS,1982,140247744
Russia,RUS,1983,141331277
Russia,RUS,1984,142464237
Russia,RUS,1985,143569388
Russia,RUS,1986,144807816
Russia,RUS,1987,146147382
Russia,RUS,1988,147364493
Russia,RUS,1989,148281863
Russia,RUS,1990,148979538
Russia,RUS,1991,149448434
Russia,RUS,1992,148915993
Russia,RUS,1993,148135419
Russia,RUS,1994,148200736
Russia,RUS,1995,148291405
Russia,RUS,1996,148084580
Russia,RUS,1997,147853772
Russia,RUS,1998,147635542
Russia,RUS,1999,147241973
Russia,RUS,2000,146717784
Russia,RUS,2001,146117290
Russia,RUS,2002,145939502
Russia,RUS,2003,145794231
Russia,RUS,2004,145180094
Russia,RUS,2005,144597888
Russia,RUS,2006,144102949
Russia,RUS,2007,143859769
Russia,RUS,2008,143811835
Russia,RUS,2009,143869130
Russia,RUS,2010,143934468
Russia,RUS,2011,144043751
Russia,RUS,2012,144291024
Russia,RUS,2013,144604102
Russia,RUS,2014,144925638
Russia,RUS,2015,145307611
Russia,RUS,2016,145778669
Russia,RUS,2017,146186800
Russia,RUS,2018,146430147
Russia,RUS,2019,146533063
Russia,RUS,2020,146371293
Russia,RUS,2021,145836172
Russia,RUS,2022,145579890
Russia,RUS,2023,145440504
United States,USA,1950,154202683
United States,USA,1951,156481322
United States,USA,1952,158794225
United States,USA,1953,161168319
United States,USA,1954,163636304
United States,USA,1955,166200030
United States,USA,1956,168824963
United States,USA,1957,171499235
United States,USA,1958,174215305
United States,USA,1959,177145772
United States,USA,1960,180274554
United States,USA,1961,183489491
United States,USA,1962,186724277
United States,USA,1963,189825228
United States,USA,1964,192819456
United States,USA,1965,195653775
United States,USA,1966,198265397
United States,USA,1967,200699913
United States,USA,1968,203011021
United States,USA,1969,205300032
United States,USA,1970,207796339
United States,USA,1971,210426424
United States,USA,1972,212842574
United States,USA,1973,215006548
United States,USA,1974,217076474
United States,USA,1975,219129300
United States,USA,1976,221168756
United States,USA,1977,223259417
United States,USA,1978,225396098
United States,USA,1979,227575083
United States,USA,1980,229858654
United States,USA,1981,232201613
United States,USA,1982,234583158
United States,USA,1983,236986362
United States,USA,1984,239353968
United States,USA,1985,241690439
United States,USA,1986,243953810
United States,USA,1987,246161292
United States,USA,1988,248393235
United States,USA,1989,250675047
United States,USA,1990,253373385
United States,USA,1991,256471425
United States,USA,1992,259606020
United States,USA,1993,262633235
United States,USA,1994,265474811
United States,USA,1995,268205794
United States,USA,1996,270860696
United States,USA,1997,273468014
United States,USA,1998,276119323
United States,USA,1999,278785482
United States,USA,2000,281484127
United States,USA,2001,284279629
United States,USA,2002,287084336
United States,USA,2003,289908091
United States,USA,2004,292786247
United States,USA,2005,295716665
United States,USA,2006,298730210
United States,USA,2007,301844227
United States,USA,2008,304970328
United States,USA,2009,308023451
United States,USA,2010,311062786
United States,USA,2011,314105078
United States,USA,2012,317115348
United States,USA,2013,320110753
United States,USA,2014,323115378
United States,USA,2015,326126498
United States,USA,2016,329179421
United States,USA,2017,332204656
United States,USA,2018,335056495
United States,USA,2019,337790068
United States,USA,2020,339436157
United States,USA,2021,340161441
United States,USA,2022,341534041
United States,USA,2023,343477332
World,OWID_WRL,1950,2493092843
World,OWID_WRL,1951,2536927039
World,OWID_WRL,1952,2584086332
World,OWID_WRL,1953,2634106246
World,OWID_WRL,1954,2685894869
World,OWID_WRL,1955,2740213784
World,OWID_WRL,1956,2795409978
World,OWID_WRL,1957,2852618346
World,OWID_WRL,1958,2911249658
World,OWID_WRL,1959,2965950358
World,OWID_WRL,1960,3015470890
World,OWID_WRL,1961,3064869656
World,OWID_WRL,1962,3123374299
World,OWID_WRL,1963,3192807820
World,OWID_WRL,1964,3264487340
World,OWID_WRL,1965,3334533717
World,OWID_WRL,1966,3404041107
World,OWID_WRL,1967,3473412894
World,OWID_WRL,1968,3545187239
World,OWID_WRL,1969,3619491592
World,OWID_WRL,1970,3694683801
World,OWID_WRL,1971,3769847834
World,OWID_WRL,1972,3844917687
World,OWID_WRL,1973,3920805030
World,OWID_WRL,1974,3996416108
World,OWID_WRL,1975,4070735264
World,OWID_WRL,1976,4144246391
World,OWID_WRL,1977,4217863819
World,OWID_WRL,1978,4292097508
World,OWID_WRL,1979,4368539472
World,OWID_WRL,1980,4447606208
World,OWID_WRL,1981,4528777285
World,OWID_WRL,1982,4612673436
World,OWID_WRL,1983,4697327604
World,OWID_WRL,1984,4782175500
World,OWID_WRL,1985,4868943460
World,OWID_WRL,1986,4958072822
World,OWID_WRL,1987,5049746378
World,OWID_WRL,1988,5141992550
World,OWID_WRL,1989,5234431714
World,OWID_WRL,1990,5327803075
World,OWID_WRL,1991,5418735879
World,OWID_WRL,1992,5505989821
World,OWID_WRL,1993,5591544841
World,OWID_WRL,1994,5675551281
World,OWID_WRL,1995,5758878997
World,OWID_WRL,1996,5842055726
World,OWID_WRL,1997,5924787787
World,OWID_WRL,1998,6007066714
World,OWID_WRL,1999,6089006330
World,OWID_WRL,2000,6171703018
World,OWID_WRL,2001,6254936479
World,OWID_WRL,2002,6337730319
World,OWID_WRL,2003,6420361649
World,OWID_WRL,2004,6503377778
World,OWID_WRL,2005,6586970145
World,OWID_WRL,2006,6671452018
World,OWID_WRL,2007,6757308750
World,OWID_WRL,2008,6844457675
World,OWID_WRL,2009,6932766459
World,OWID_WRL,2010,7021732131
World,OWID_WRL,2011,7110923797
World,OWID_WRL,2012,7201202531
World,OWID_WRL,2013,7291793608
World,OWID_WRL,2014,7381616239
World,OWID_WRL,2015,7470491904
World,OWID_WRL,2016,7558554580
World,OWID_WRL,2017,7645618013
World,OWID_WRL,2018,7729902724
World,OWID_WRL,2019,7811293714
World,OWID_WRL,2020,7887001284
World,OWID_WRL,2021,7954448405
World,OWID_WRL,2022,8021407170
World,OWID_WRL,2023,8091734935
